record,age,sex,grade,race4,qn16,qn17,qn19,qn20,qn21,qn24,qn25,qn27,qn28,qn29,qn30,qn33,qn37,qn43,qn45,qn47,qn50,qn51,qn52,qn53,qn54,qn55,qn56,qn57
1115896,NA,NA,NA,2,1,1,2,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,2,2,1,2,2
1115897,NA,NA,4,3,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
1115898,1,NA,NA,4,1,2,1,1,2,2,2,1,1,NA,NA,NA,1,NA,NA,1,1,1,1,2,1,1,1,2
1115899,2,NA,2,3,NA,1,1,NA,2,NA,2,2,NA,1,2,NA,2,1,2,NA,1,1,1,1,1,1,1,1
1115900,3,NA,3,NA,1,1,1,1,NA,2,2,2,2,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,2
1115901,4,NA,1,3,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1115902,4,NA,2,NA,NA,2,2,2,1,2,2,2,2,2,2,2,NA,2,2,1,2,2,2,2,1,2,1,2
1115903,5,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,2,1,2,1,1,2,1,1,2,1
1115904,6,NA,2,4,2,2,2,2,2,2,2,1,2,NA,NA,NA,2,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA
1115905,6,NA,4,3,NA,2,NA,1,1,2,2,1,1,2,2,NA,1,NA,NA,1,2,2,2,2,1,2,1,2
1115906,6,NA,3,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,2,1,NA,NA,2,NA,1,1,1,NA,NA,1,1,NA
1115907,7,NA,NA,4,2,2,1,1,2,2,2,2,2,NA,NA,2,2,1,2,1,2,2,2,2,2,2,2,2
1115908,NA,2,3,1,1,1,1,1,NA,1,1,1,NA,2,2,1,1,NA,2,1,1,2,1,2,2,2,2,2
1115909,NA,2,4,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1115910,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1115911,1,2,NA,NA,NA,1,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1115912,1,2,4,3,1,1,1,1,2,1,2,1,2,1,2,NA,NA,1,2,1,1,1,1,1,1,1,1,1
1115913,1,2,3,4,1,1,1,1,1,1,2,1,1,1,1,1,2,NA,NA,1,1,1,1,1,1,1,2,1
1115914,3,2,1,2,NA,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1
1115915,3,2,1,3,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
1115916,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,1,2,2,2,2,1,2,1
1115917,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2
1115918,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1115919,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,1,2,1,2,2,1,2,2,2
1115920,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115921,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115922,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115923,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115924,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2
1115925,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,1,2,1,2
1115926,3,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115927,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115928,3,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1115929,3,2,1,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115930,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1115931,3,2,1,NA,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115932,3,2,1,3,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2
1115933,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115934,3,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
1115935,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1115936,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115937,3,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115938,3,2,1,2,2,1,2,2,2,2,2,2,1,NA,NA,2,2,1,2,2,2,1,2,2,2,2,2,2
1115939,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2
1115940,3,2,1,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1115941,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115942,3,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2
1115943,3,2,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2
